t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -4734673 -118545
50 -4668173 -1 379733827 101 -4709651 162020
100 -4668173 -1 379733827 101 -4511509 -11070
150 -4668173 -1 379733827 101 -4795109 -58408
200 -4668173 -1 379733827 101 -4639563 168434
250 -4668173 -1 379733827 101 -4544330 -81584
300 -4668173 -1 379733827 101 -4813846 21727
350 -4668173 -1 379733827 101 -4574711 143260
400 -4668173 -1 379733827 101 -4611408 -128488
450 -4668173 -1 379733826 101 -4790801 96517
500 -4668173 -1 379733826 101 -4527400 91384
550 -4668173 -1 379733826 101 -4696291 -133171
600 -4668173 -1 379733826 101 -4737517 148439
650 -4668173 -1 379733826 101 -4508040 21762
700 -4668173 -1 379733826 101 -4770931 -90551
750 -4668173 -1 379733826 101 -4669121 169193
800 -4668173 -1 379733826 101 -4523967 -52075
850 -4668173 -1 379733826 101 -4809951 -15932
900 -4668173 -1 379733825 101 -4600282 157340
950 -4668173 -1 379733825 101 -4576450 -111866
1000 -4668173 -1 379733825 101 -4804770 64506
1050 -4668173 -1 379733825 101 -4544029 116243
1100 -4668173 -1 379733825 101 -4655831 -137471
1150 -4668173 -1 379733825 101 -4762855 128522
1200 -4668173 -1 379733824 101 -4511488 53218
1250 -4668173 -1 379733824 101 -4738839 -115968
1300 -4668173 -1 379733824 101 -4698868 163649
1350 -4668173 -1 379733824 101 -4511279 -20325
1400 -4668173 -1 379733824 101 -4796620 -52941
1450 -4668173 -1 379733823 101 -4628297 165820
1500 -4668173 -1 379733823 101 -4547637 -88449
1550 -4668173 -1 379733823 101 -4811477 28515
1600 -4668173 -1 379733823 101 -4565081 136718
1650 -4668173 -1 379733823 101 -4616535 -131631
1700 -4668173 -1 379733822 101 -4784263 102497
1750 -4668173 -1 379733822 101 -4521118 82201
1800 -4668173 -1 379733822 101 -4701215 -132357
1850 -4668173 -1 379733821 101 -4727728 151607
1900 -4668173 -1 379733821 101 -4505996 11906
1950 -4668173 -1 379733821 101 -4773885 -86393
2000 -4668173 -1 379733821 101 -4657895 168323
2050 -4668173 -1 379733820 101 -4525944 -60419
2100 -4668173 -1 379733820 101 -4809508 -9676
2150 -4668173 -1 379733820 101 -4589769 152268
2200 -4668173 -1 379733819 101 -4581113 -116946
2250 -4668173 -1 379733819 101 -4800158 70943
2300 -4668173 -1 379733819 101 -4536179 107851
2350 -4668173 -1 379733818 101 -4661187 -138545
2400 -4668173 -1 379733818 101 -4754445 132987
2450 -4668173 -1 379733818 101 -4507599 43216
2500 -4668173 -1 379733817 101 -4742955 -113340
2550 -4668173 -1 379733817 101 -4688131 164500
2600 -4668173 -1 379733816 101 -4511654 -29783
2650 -4668173 -1 379733816 101 -4797929 -47593
2700 -4668173 -1 379733816 101 -4617307 162403
2750 -4668173 -1 379733815 101 -4551426 -95329
2800 -4668173 -1 379733815 101 -4808866 34966
2850 -4668173 -1 379733814 101 -4555940 129469
2900 -4668173 -1 379733814 101 -4621952 -134676
2950 -4668173 -1 379733813 101 -4777546 107927
3000 -4668173 -1 379733813 101 -4515461 72497
3050 -4668173 -1 379733813 101 -4706205 -131439
3100 -4668173 -1 379733812 101 -4717915 154057
3150 -4668173 -1 379733812 101 -4504604 1761
3200 -4668173 -1 379733811 101 -4776710 -82254
3250 -4668173 -1 379733811 101 -4646863 166659
3300 -4668173 -1 379733810 101 -4528489 -68841
3350 -4668173 -1 379733810 101 -4808845 -3643
3400 -4668173 -1 379733809 101 -4579679 146447
3450 -4668173 -1 379733809 101 -4586179 -121956
3500 -4668173 -1 379733808 101 -4795345 76935
3550 -4668173 -1 379733808 101 -4528928 98860
3600 -4668173 -1 379733807 101 -4666731 -139492
3650 -4668173 -1 379733806 101 -4745951 136813
3700 -4668173 -1 379733806 101 -4504386 32833
3750 -4668173 -1 379733805 101 -4747040 -110648
3800 -4668173 -1 379733805 101 -4677505 164593
3850 -4668173 -1 379733804 101 -4512668 -39394
3900 -4668173 -1 379733804 101 -4799062 -42358
3950 -4668173 -1 379733803 101 -4606659 158218
4000 -4668173 -1 379733802 101 -4555719 -102182
4050 -4668173 -1 379733802 101 -4806050 41082
4100 -4668173 -1 379733801 101 -4547348 121556
4150 -4668173 -1 379733801 101 -4627677 -137593
4200 -4668173 -1 379733800 101 -4770699 112812
4250 -4668173 -1 379733799 101 -4510480 62325
4300 -4668173 -1 379733799 101 -4711276 -130400
4350 -4668173 -1 379733798 101 -4708136 155807
4400 -4668173 -1 379733797 101 -4503902 -8623
4450 -4668173 -1 379733797 101 -4779429 -78123
4500 -4668173 -1 379733796 101 -4636088 164233
4550 -4668173 -1 379733795 101 -4531629 -77294
4600 -4668173 -1 379733795 101 -4807994 2170
4650 -4668173 -1 379733794 101 -4570071 139916
4700 -4668173 -1 379733793 101 -4591664 -126859
4750 -4668173 -1 379733793 101 -4790376 82489
4800 -4668173 -1 379733792 101 -4522327 89321
4850 -4668173 -1 379733791 101 -4672475 -140286
4900 -4668173 -1 379733790 101 -4737428 140017
4950 -4668173 -1 379733790 101 -4501891 22125
5000 -4668173 -1 379733789 101 -4751111 -107877
5050 -4668173 -1 379733788 102 -4667051 163955
5100 -4668173 -1 379733787 102 -4514350 -49107
5150 -4668173 -1 379733787 102 -4800046 -37226
5200 -4668173 -1 379733786 102 -4596416 153302
5250 -4668173 -1 379733785 102 -4560535 -108963
5300 -4668173 -1 379733784 102 -4803066 46872
5350 -4668173 -1 379733783 102 -4539362 113029
5400 -4668173 -1 379733783 102 -4633720 -140350
5450 -4668173 -1 379733782 102 -4763773 117168
5500 -4668173 -1 379733781 102 -4506220 51740
5550 -4668173 -1 379733780 102 -4716443 -129217
5600 -4668173 -1 379733779 102 -4698451 156880
5650 -4668173 -1 379733778 102 -4503923 -19188
5700 -4668173 -1 379733778 102 -4782062 -73988
5750 -4668173 -1 379733777 102 -4625631 161080
5800 -4668173 -1 379733776 102 -4535383 -85727
5850 -4668173 -1 379733775 102 -4806984 7774
5900 -4668173 -1 379733774 102 -4561004 132725
5950 -4668173 -1 379733773 102 -4597580 -131612
6000 -4668173 -1 379733772 102 -4785292 87615
6050 -4668173 -1 379733771 102 -4516428 79289
6100 -4668173 -1 379733770 102 -4678432 -140900
6150 -4668172 -1 379733770 102 -4728928 142618
6200 -4668172 -1 379733769 102 -4500151 11149
6250 -4668172 -1 379733768 102 -4755183 -105008
6300 -4668172 -1 379733767 102 -4656828 162617
6350 -4668172 -1 379733766 102 -4516725 -58864
6400 -4668172 -1 379733765 102 -4800901 -32185
6450 -4668172 -1 379733764 102 -4586634 147701
6500 -4668172 -1 379733763 102 -4565887 -115624
6550 -4668172 -1 379733762 102 -4799949 52347
6600 -4668172 -1 379733761 102 -4532032 103944
6650 -4668172 -1 379733760 102 -4640091 -142912
6700 -4668172 -1 379733759 102 -4756813 121009
6750 -4668172 -1 379733758 102 -4502723 40804
6800 -4668172 -1 379733757 102 -4721716 -127868
6850 -4668172 -1 379733756 102 -4688912 157305
6900 -4668172 -1 379733755 102 -4504694 -29873
6950 -4668172 -1 379733754 102 -4784624 -69830
7000 -4668172 -1 379733753 102 -4615548 157241
7050 -4668172 -1 379733752 102 -4539769 -94084
7100 -4668172 -1 379733751 102 -4805840 13181
7150 -4668172 -1 379733750 102 -4552530 124926
7200 -4668172 -1 379733748 102 -4603936 -136174
7250 -4668172 -1 379733747 102 -4780132 92329
7300 -4668172 -1 379733746 102 -4511272 68827
7350 -4668172 -1 379733745 102 -4684606 -141302
7400 -4668172 -1 379733744 102 -4720500 144640
7450 -4668172 -1 379733743 102 -4499197 -29
7500 -4668172 -1 379733742 102 -4759268 -102020
7550 -4668172 -1 379733741 102 -4646889 160617
7600 -4668172 -1 379733740 102 -4519811 -68605
7650 -4668172 -1 379733738 102 -4801647 -27219
7700 -4668172 -1 379733737 102 -4577366 141464
7750 -4668172 -1 379733736 102 -4571785 -122114
7800 -4668172 -1 379733735 102 -4796729 57522
7850 -4668172 -1 379733734 102 -4525404 94359
7900 -4668172 -1 379733733 102 -4646793 -145239
7950 -4668172 -1 379733731 103 -4749862 124359
8000 -4668172 -1 379733730 103 -4500021 29581
8050 -4668172 -1 379733729 103 -4727100 -126325
8100 -4668172 -1 379733728 103 -4679570 157114
8150 -4668172 -1 379733727 103 -4506237 -40613
8200 -4668172 -1 379733725 103 -4787129 -65631
8250 -4668172 -1 379733724 103 -4605890 152763
8300 -4668172 -1 379733723 103 -4544795 -102308
8350 -4668172 -1 379733722 103 -4804586 18408
8400 -4668172 -1 379733720 103 -4544694 116577
8450 -4668172 -1 379733719 103 -4610734 -140497
