t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308706 -5460722
50 -4668173 -1 379733827 101 -7847787 -5753611
100 -4668173 -1 379733827 101 -7375799 -6026466
150 -4668173 -1 379733827 101 -6894530 -6278648
200 -4668173 -1 379733827 101 -6405819 -6509821
250 -4668173 -1 379733827 101 -5911502 -6719940
300 -4668173 -1 379733827 101 -5413346 -6909230
350 -4668173 -1 379733827 101 -4913013 -7078154
400 -4668173 -1 379733827 101 -4412022 -7227369
450 -4668173 -1 379733826 101 -3911729 -7357686
500 -4668173 -1 379733826 101 -3413317 -7470022
550 -4668173 -1 379733826 101 -2917795 -7565365
600 -4668173 -1 379733826 101 -2426009 -7644740
650 -4668173 -1 379733826 101 -1938649 -7709179
700 -4668173 -1 379733826 101 -1456267 -7759699
750 -4668173 -1 379733826 101 -979292 -7797289
800 -4668173 -1 379733826 101 -508044 -7822894
850 -4668173 -1 379733826 101 -42756 -7837413
900 -4668173 -1 379733825 101 416421 -7841688
950 -4668173 -1 379733825 101 869394 -7836508
1000 -4668173 -1 379733825 101 1316129 -7822604
1050 -4668173 -1 379733825 101 1756629 -7800655
1100 -4668173 -1 379733825 101 2190935 -7771287
1150 -4668173 -1 379733825 101 2619115 -7735077
1200 -4668173 -1 379733824 101 3041256 -7692554
1250 -4668173 -1 379733824 101 3457462 -7644205
1300 -4668173 -1 379733824 101 3867852 -7590477
1350 -4668173 -1 379733824 101 4272550 -7531780
1400 -4668173 -1 379733824 101 4671689 -7468490
1450 -4668173 -1 379733823 101 5065403 -7400952
1500 -4668173 -1 379733823 101 5453830 -7329482
1550 -4668173 -1 379733823 101 5837109 -7254370
1600 -4668173 -1 379733823 101 6215378 -7175884
1650 -4668173 -1 379733823 101 6588773 -7094269
1700 -4668173 -1 379733822 101 6957428 -7009751
1750 -4668173 -1 379733822 101 7321475 -6922536
1800 -4668173 -1 379733822 101 7681043 -6832818
1850 -4668173 -1 379733821 101 8036259 -6740772
1900 -4668173 -1 379733821 101 8387243 -6646560
1950 -4668173 -1 379733821 101 8734115 -6550335
2000 -4668173 -1 379733821 101 9076989 -6452234
2050 -4668173 -1 379733820 101 9415977 -6352387
2100 -4668173 -1 379733820 101 9751187 -6250912
2150 -4668173 -1 379733820 101 10082722 -6147921
2200 -4668173 -1 379733819 101 10410683 -6043517
2250 -4668173 -1 379733819 101 10735167 -5937794
2300 -4668173 -1 379733819 101 11056267 -5830841
2350 -4668173 -1 379733818 101 11374075 -5722741
2400 -4668173 -1 379733818 101 11688675 -5613571
2450 -4668173 -1 379733818 101 12000154 -5503402
2500 -4668173 -1 379733817 101 12308591 -5392302
2550 -4668173 -1 379733817 101 12614064 -5280333
2600 -4668173 -1 379733816 101 12916649 -5167552
2650 -4668173 -1 379733816 101 13216418 -5054015
2700 -4668173 -1 379733816 101 13513441 -4939773
2750 -4668173 -1 379733815 101 13807786 -4824874
2800 -4668173 -1 379733815 101 14099518 -4709362
2850 -4668173 -1 379733814 101 14388699 -4593279
2900 -4668173 -1 379733814 101 14675390 -4476666
2950 -4668173 -1 379733813 101 14959650 -4359558
3000 -4668173 -1 379733813 101 15241535 -4241991
3050 -4668173 -1 379733813 101 15521099 -4123998
3100 -4668173 -1 379733812 101 15798396 -4005609
3150 -4668173 -1 379733812 101 16073476 -3886853
3200 -4668173 -1 379733811 101 16346389 -3767759
3250 -4668173 -1 379733811 101 16617181 -3648350
3300 -4668173 -1 379733810 101 16885900 -3528653
3350 -4668173 -1 379733810 101 17152589 -3408690
3400 -4668173 -1 379733809 101 17417293 -3288481
3450 -4668173 -1 379733809 101 17680051 -3168049
3500 -4668173 -1 379733808 101 17940906 -3047412
3550 -4668173 -1 379733808 101 18199895 -2926588
3600 -4668173 -1 379733807 101 18457058 -2805596
3650 -4668173 -1 379733806 101 18712430 -2684450
3700 -4668173 -1 379733806 101 18966047 -2563166
3750 -4668173 -1 379733805 101 19217944 -2441760
3800 -4668173 -1 379733805 101 19468154 -2320245
3850 -4668173 -1 379733804 101 19716709 -2198634
3900 -4668173 -1 379733804 101 19963642 -2076940
3950 -4668173 -1 379733803 101 20208982 -1955175
4000 -4668173 -1 379733802 101 20452760 -1833349
4050 -4668173 -1 379733802 101 20695004 -1711473
4100 -4668173 -1 379733801 101 20935743 -1589558
4150 -4668173 -1 379733801 101 21175003 -1467614
4200 -4668173 -1 379733800 101 21412811 -1345648
4250 -4668173 -1 379733799 101 21649193 -1223670
4300 -4668173 -1 379733799 101 21884174 -1101688
4350 -4668173 -1 379733798 101 22117777 -979711
4400 -4668173 -1 379733797 101 22350028 -857744
4450 -4668173 -1 379733797 101 22580949 -735796
4500 -4668173 -1 379733796 101 22810561 -613873
4550 -4668173 -1 379733795 101 23038888 -491982
4600 -4668173 -1 379733795 101 23265951 -370128
4650 -4668173 -1 379733794 101 23491770 -248317
4700 -4668173 -1 379733793 101 23716365 -126556
4750 -4668173 -1 379733793 101 23939756 -4848
4800 -4668173 -1 379733792 101 24161962 116800
4850 -4668173 -1 379733791 101 24383003 238384
4900 -4668173 -1 379733790 101 24602896 359900
4950 -4668173 -1 379733790 101 24821659 481344
5000 -4668173 -1 379733789 101 25039309 602710
5050 -4668173 -1 379733788 102 25255863 723996
5100 -4668173 -1 379733787 102 25471339 845197
5150 -4668173 -1 379733787 102 25685752 966311
5200 -4668173 -1 379733786 102 25899117 1087333
5250 -4668173 -1 379733785 102 26111451 1208261
5300 -4668173 -1 379733784 102 26322768 1329091
5350 -4668173 -1 379733783 102 26533083 1449820
5400 -4668173 -1 379733783 102 26742411 1570446
5450 -4668173 -1 379733782 102 26950765 1690967
5500 -4668173 -1 379733781 102 27158159 1811379
5550 -4668173 -1 379733780 102 27364607 1931680
5600 -4668173 -1 379733779 102 27570121 2051868
5650 -4668173 -1 379733778 102 27774715 2171941
5700 -4668173 -1 379733778 102 27978401 2291896
5750 -4668173 -1 379733777 102 28181191 2411733
5800 -4668173 -1 379733776 102 28383098 2531448
5850 -4668173 -1 379733775 102 28584133 2651040
5900 -4668173 -1 379733774 102 28784308 2770508
5950 -4668173 -1 379733773 102 28983634 2889850
6000 -4668173 -1 379733772 102 29182122 3009064
6050 -4668173 -1 379733771 102 29379783 3128148
6100 -4668173 -1 379733770 102 29576627 3247103
6150 -4668172 -1 379733770 102 29772665 3365925
6200 -4668172 -1 379733769 102 29967907 3484615
6250 -4668172 -1 379733768 102 30162363 3603171
6300 -4668172 -1 379733767 102 30356043 3721591
6350 -4668172 -1 379733766 102 30548957 3839875
6400 -4668172 -1 379733765 102 30741113 3958021
6450 -4668172 -1 379733764 102 30932521 4076030
6500 -4668172 -1 379733763 102 31123190 4193899
6550 -4668172 -1 379733762 102 31313129 4311629
6600 -4668172 -1 379733761 102 31502346 4429217
6650 -4668172 -1 379733760 102 31690851 4546665
6700 -4668172 -1 379733759 102 31878651 4663970
6750 -4668172 -1 379733758 102 32065755 4781132
6800 -4668172 -1 379733757 102 32252170 4898151
6850 -4668172 -1 379733756 102 32437905 5015026
6900 -4668172 -1 379733755 102 32622968 5131757
6950 -4668172 -1 379733754 102 32807365 5248342
7000 -4668172 -1 379733753 102 32991105 5364782
7050 -4668172 -1 379733752 102 33174195 5481076
7100 -4668172 -1 379733751 102 33356642 5597224
7150 -4668172 -1 379733750 102 33538454 5713225
7200 -4668172 -1 379733748 102 33719636 5829080
7250 -4668172 -1 379733747 102 33900197 5944787
7300 -4668172 -1 379733746 102 34080142 6060346
7350 -4668172 -1 379733745 102 34259479 6175758
7400 -4668172 -1 379733744 102 34438214 6291021
7450 -4668172 -1 379733743 102 34616352 6406136
7500 -4668172 -1 379733742 102 34793902 6521103
7550 -4668172 -1 379733741 102 34970868 6635921
7600 -4668172 -1 379733740 102 35147257 6750590
7650 -4668172 -1 379733738 102 35323075 6865110
7700 -4668172 -1 379733737 102 35498328 6979481
7750 -4668172 -1 379733736 102 35673021 7093703
7800 -4668172 -1 379733735 102 35847160 7207776
7850 -4668172 -1 379733734 102 36020751 7321700
7900 -4668172 -1 379733733 102 36193799 7435474
7950 -4668172 -1 379733731 103 36366310 7549099
8000 -4668172 -1 379733730 103 36538288 7662575
8050 -4668172 -1 379733729 103 36709741 7775901
8100 -4668172 -1 379733728 103 36880671 7889078
8150 -4668172 -1 379733727 103 37051085 8002106
8200 -4668172 -1 379733725 103 37220988 8114984
8250 -4668172 -1 379733724 103 37390384 8227714
8300 -4668172 -1 379733723 103 37559278 8340294
8350 -4668172 -1 379733722 103 37727675 8452726
8400 -4668172 -1 379733720 103 37895580 8565008
8450 -4668172 -1 379733719 103 38062998 8677142
8500 -4668172 -1 379733718 103 38229932 8789127
8550 -4668172 -1 379733717 103 38396388 8900963
8600 -4668172 -1 379733715 103 38562370 9012651
8650 -4668172 -1 379733714 103 38727882 9124191
8700 -4668172 -1 379733713 103 38892929 9235582
8750 -4668172 -1 379733711 103 39057514 9346826
8800 -4668172 -1 379733710 103 39221643 9457922
8850 -4668172 -1 379733709 103 39385318 9568870
8900 -4668172 -1 379733707 103 39548545 9679671
8950 -4668172 -1 379733706 103 39711327 9790324
9000 -4668172 -1 379733705 103 39873668 9900830
9050 -4668172 -1 379733703 103 40035572 10011190
9100 -4668172 -1 379733702 103 40197043 10121403
9150 -4668172 -1 379733701 103 40358085 10231469
9200 -4668172 -1 379733699 103 40518701 10341389
9250 -4668172 -1 379733698 103 40678895 10451163
9300 -4668172 -1 379733697 103 40838670 10560792
9350 -4668172 -1 379733695 103 40998031 10670275
9400 -4668172 -1 379733694 103 41156980 10779612
9450 -4668172 -1 379733692 103 41315522 10888805
9500 -4668172 -1 379733691 103 41473660 10997852
9550 -4668172 -1 379733689 103 41631396 11106755
9600 -4668171 -1 379733688 104 41788735 11215514
9650 -4668171 -1 379733687 104 41945679 11324129
9700 -4668171 -1 379733685 104 42102233 11432600
9750 -4668171 -1 379733684 104 42258399 11540927
9800 -4668171 -1 379733682 104 42414179 11649111
9850 -4668171 -1 379733681 104 42569579 11757153
9900 -4668171 -1 379733679 104 42724600 11865051
9950 -4668171 -1 379733678 104 42879245 11972807
10000 -4668171 -1 379733676 104 43033519 12080421
10050 -4668171 -1 379733675 104 43187422 12187893
10100 -4668171 -1 379733673 104 43340960 12295224
10150 -4668171 -1 379733672 104 43494133 12402413
10200 -4668171 -1 379733670 104 43646946 12509461
10250 -4668171 -1 379733669 104 43799401 12616368
10300 -4668171 -1 379733667 104 43951501 12723135
10350 -4668171 -1 379733666 104 44103248 12829762
10400 -4668171 -1 379733664 104 44254646 12936249
10450 -4668171 -1 379733662 104 44405697 13042597
10500 -4668171 -1 379733661 104 44556403 13148805
10550 -4668171 -1 379733659 104 44706768 13254874
10600 -4668171 -1 379733658 104 44856794 13360805
10650 -4668171 -1 379733656 104 45006483 13466597
10700 -4668171 -1 379733655 104 45155838 13572252
10750 -4668171 -1 379733653 104 45304862 13677768
10800 -4668171 -1 379733651 105 45453556 13783147
10850 -4668171 -1 379733650 105 45601924 13888389
10900 -4668171 -1 379733648 105 45749968 13993495
10950 -4668171 -1 379733646 105 45897690 14098464
11000 -4668171 -1 379733645 105 46045092 14203296
11050 -4668171 -1 379733643 105 46192178 14307993
11100 -4668171 -1 379733642 105 46338948 14412554
11150 -4668171 -1 379733640 105 46485406 14516980
11200 -4668171 -1 379733638 105 46631554 14621271
11250 -4668171 -1 379733636 105 46777393 14725427
11300 -4668171 -1 379733635 105 46922927 14829449
11350 -4668171 -1 379733633 105 47068157 14933337
11400 -4668171 -1 379733631 105 47213085 15037092
11450 -4668171 -1 379733630 105 47357714 15140713
11500 -4668171 -1 379733628 105 47502045 15244201
11550 -4668171 -1 379733626 105 47646081 15347556
11600 -4668171 -1 379733625 105 47789824 15450779
11650 -4668171 -1 379733623 105 47933276 15553869
11700 -4668171 -1 379733621 105 48076438 15656828
11750 -4668171 -1 379733619 106 48219314 15759655
11800 -4668171 -1 379733618 106 48361904 15862351
11850 -4668171 -1 379733616 106 48504211 15964916
11900 -4668171 -1 379733614 106 48646236 16067351
11950 -4668171 -1 379733612 106 48787982 16169655
12000 -4668171 -1 379733610 106 48929450 16271830
12050 -4668171 -1 379733609 106 49070643 16373875
