t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8859564 -5050268
50 -4668173 -1 379733827 101 -8432119 -5389505
100 -4668173 -1 379733827 101 -7991571 -5709975
150 -4668173 -1 379733827 101 -7539628 -6010857
200 -4668173 -1 379733827 101 -7078086 -6291623
250 -4668173 -1 379733827 101 -6608759 -6552035
300 -4668173 -1 379733827 101 -6133432 -6792132
350 -4668173 -1 379733827 101 -5653804 -7012198
400 -4668173 -1 379733827 101 -5171453 -7212727
450 -4668173 -1 379733826 101 -4687813 -7394378
500 -4668173 -1 379733826 101 -4204156 -7557941
550 -4668173 -1 379733826 101 -3721592 -7704291
600 -4668173 -1 379733826 101 -3241070 -7834355
650 -4668173 -1 379733826 101 -2763384 -7949087
700 -4668173 -1 379733826 101 -2289191 -8049442
750 -4668173 -1 379733826 101 -1819024 -8136355
800 -4668173 -1 379733826 101 -1353301 -8210735
850 -4668173 -1 379733826 101 -892347 -8273449
900 -4668173 -1 379733825 101 -436406 -8325320
950 -4668173 -1 379733825 101 14351 -8367123
1000 -4668173 -1 379733825 101 459809 -8399583
1050 -4668173 -1 379733825 101 899902 -8423375
1100 -4668173 -1 379733825 101 1334602 -8439126
1150 -4668173 -1 379733825 101 1763916 -8447417
1200 -4668173 -1 379733824 101 2187875 -8448786
1250 -4668173 -1 379733824 101 2606533 -8443728
1300 -4668173 -1 379733824 101 3019957 -8432700
1350 -4668173 -1 379733824 101 3428231 -8416124
1400 -4668173 -1 379733824 101 3831445 -8394388
1450 -4668173 -1 379733823 101 4229697 -8367850
1500 -4668173 -1 379733823 101 4623092 -8336839
1550 -4668173 -1 379733823 101 5011737 -8301660
1600 -4668173 -1 379733823 101 5395740 -8262593
1650 -4668173 -1 379733823 101 5775212 -8219897
1700 -4668173 -1 379733822 101 6150263 -8173811
1750 -4668173 -1 379733822 101 6521001 -8124555
1800 -4668173 -1 379733822 101 6887537 -8072335
1850 -4668173 -1 379733821 101 7249975 -8017338
1900 -4668173 -1 379733821 101 7608420 -7959740
1950 -4668173 -1 379733821 101 7962976 -7899705
2000 -4668173 -1 379733821 101 8313741 -7837381
2050 -4668173 -1 379733820 101 8660813 -7772911
2100 -4668173 -1 379733820 101 9004287 -7706423
2150 -4668173 -1 379733820 101 9344255 -7638039
2200 -4668173 -1 379733819 101 9680806 -7567872
2250 -4668173 -1 379733819 101 10014027 -7496028
2300 -4668173 -1 379733819 101 10344001 -7422604
2350 -4668173 -1 379733818 101 10670810 -7347692
2400 -4668173 -1 379733818 101 10994532 -7271378
2450 -4668173 -1 379733818 101 11315244 -7193743
2500 -4668173 -1 379733817 101 11633019 -7114861
2550 -4668173 -1 379733817 101 11947928 -7034804
2600 -4668173 -1 379733816 101 12260041 -6953636
2650 -4668173 -1 379733816 101 12569423 -6871420
2700 -4668173 -1 379733816 101 12876139 -6788215
2750 -4668173 -1 379733815 101 13180251 -6704075
2800 -4668173 -1 379733815 101 13481820 -6619051
2850 -4668173 -1 379733814 101 13780903 -6533192
2900 -4668173 -1 379733814 101 14077557 -6446545
2950 -4668173 -1 379733813 101 14371837 -6359151
3000 -4668173 -1 379733813 101 14663794 -6271052
3050 -4668173 -1 379733813 101 14953481 -6182286
3100 -4668173 -1 379733812 101 15240946 -6092889
3150 -4668173 -1 379733812 101 15526236 -6002895
3200 -4668173 -1 379733811 101 15809399 -5912338
3250 -4668173 -1 379733811 101 16090479 -5821247
3300 -4668173 -1 379733810 101 16369520 -5729652
3350 -4668173 -1 379733810 101 16646562 -5637580
3400 -4668173 -1 379733809 101 16921648 -5545058
3450 -4668173 -1 379733809 101 17194816 -5452109
3500 -4668173 -1 379733808 101 17466105 -5358758
3550 -4668173 -1 379733808 101 17735552 -5265028
3600 -4668173 -1 379733807 101 18003192 -5170938
3650 -4668173 -1 379733806 101 18269061 -5076509
3700 -4668173 -1 379733806 101 18533193 -4981761
3750 -4668173 -1 379733805 101 18795620 -4886712
3800 -4668173 -1 379733805 101 19056375 -4791378
3850 -4668173 -1 379733804 101 19315488 -4695777
3900 -4668173 -1 379733804 101 19572989 -4599925
3950 -4668173 -1 379733803 101 19828908 -4503835
4000 -4668173 -1 379733802 101 20083274 -4407523
4050 -4668173 -1 379733802 101 20336113 -4311003
4100 -4668173 -1 379733801 101 20587453 -4214286
4150 -4668173 -1 379733801 101 20837321 -4117386
4200 -4668173 -1 379733800 101 21085740 -4020315
4250 -4668173 -1 379733799 101 21332737 -3923083
4300 -4668173 -1 379733799 101 21578335 -3825702
4350 -4668173 -1 379733798 101 21822558 -3728182
4400 -4668173 -1 379733797 101 22065428 -3630533
4450 -4668173 -1 379733797 101 22306968 -3532764
4500 -4668173 -1 379733796 101 22547200 -3434884
4550 -4668173 -1 379733795 101 22786144 -3336903
4600 -4668173 -1 379733795 101 23023822 -3238828
4650 -4668173 -1 379733794 101 23260253 -3140667
4700 -4668173 -1 379733793 101 23495456 -3042427
4750 -4668173 -1 379733793 101 23729452 -2944118
4800 -4668173 -1 379733792 101 23962259 -2845744
4850 -4668173 -1 379733791 101 24193894 -2747313
4900 -4668173 -1 379733790 101 24424376 -2648831
4950 -4668173 -1 379733790 101 24653722 -2550305
5000 -4668173 -1 379733789 101 24881948 -2451740
5050 -4668173 -1 379733788 102 25109072 -2353141
5100 -4668173 -1 379733787 102 25335109 -2254516
5150 -4668173 -1 379733787 102 25560075 -2155868
5200 -4668173 -1 379733786 102 25783986 -2057202
5250 -4668173 -1 379733785 102 26006856 -1958524
5300 -4668173 -1 379733784 102 26228700 -1859838
5350 -4668173 -1 379733783 102 26449533 -1761148
5400 -4668173 -1 379733783 102 26669369 -1662460
5450 -4668173 -1 379733782 102 26888221 -1563776
5500 -4668173 -1 379733781 102 27106103 -1465100
5550 -4668173 -1 379733780 102 27323028 -1366438
5600 -4668173 -1 379733779 102 27539008 -1267791
5650 -4668173 -1 379733778 102 27754058 -1169165
5700 -4668173 -1 379733778 102 27968187 -1070561
5750 -4668173 -1 379733777 102 28181410 -971984
5800 -4668173 -1 379733776 102 28393737 -873436
5850 -4668173 -1 379733775 102 28605180 -774920
5900 -4668173 -1 379733774 102 28815751 -676440
5950 -4668173 -1 379733773 102 29025460 -577997
6000 -4668173 -1 379733772 102 29234319 -479596
6050 -4668173 -1 379733771 102 29442338 -381237
6100 -4668173 -1 379733770 102 29649527 -282925
6150 -4668172 -1 379733770 102 29855897 -184660
6200 -4668172 -1 379733769 102 30061458 -86446
6250 -4668172 -1 379733768 102 30266220 11715
6300 -4668172 -1 379733767 102 30470191 109822
6350 -4668172 -1 379733766 102 30673383 207872
6400 -4668172 -1 379733765 102 30875803 305864
6450 -4668172 -1 379733764 102 31077461 403795
6500 -4668172 -1 379733763 102 31278367 501663
6550 -4668172 -1 379733762 102 31478528 599467
6600 -4668172 -1 379733761 102 31677953 697206
6650 -4668172 -1 379733760 102 31876651 794876
6700 -4668172 -1 379733759 102 32074631 892478
6750 -4668172 -1 379733758 102 32271899 990010
6800 -4668172 -1 379733757 102 32468465 1087469
6850 -4668172 -1 379733756 102 32664335 1184855
6900 -4668172 -1 379733755 102 32859518 1282166
6950 -4668172 -1 379733754 102 33054022 1379401
7000 -4668172 -1 379733753 102 33247853 1476559
7050 -4668172 -1 379733752 102 33441019 1573639
7100 -4668172 -1 379733751 102 33633527 1670639
7150 -4668172 -1 379733750 102 33825385 1767558
7200 -4668172 -1 379733748 102 34016598 1864396
7250 -4668172 -1 379733747 102 34207175 1961150
7300 -4668172 -1 379733746 102 34397121 2057821
7350 -4668172 -1 379733745 102 34586443 2154407
7400 -4668172 -1 379733744 102 34775148 2250908
7450 -4668172 -1 379733743 102 34963241 2347322
7500 -4668172 -1 379733742 102 35150731 2443648
7550 -4668172 -1 379733741 102 35337621 2539887
7600 -4668172 -1 379733740 102 35523919 2636036
7650 -4668172 -1 379733738 102 35709630 2732096
7700 -4668172 -1 379733737 102 35894761 2828066
7750 -4668172 -1 379733736 102 36079317 2923944
7800 -4668172 -1 379733735 102 36263303 3019730
7850 -4668172 -1 379733734 102 36446726 3115425
7900 -4668172 -1 379733733 102 36629590 3211026
7950 -4668172 -1 379733731 103 36811902 3306533
8000 -4668172 -1 379733730 103 36993666 3401947
8050 -4668172 -1 379733729 103 37174888 3497265
8100 -4668172 -1 379733728 103 37355573 3592489
8150 -4668172 -1 379733727 103 37535725 3687616
8200 -4668172 -1 379733725 103 37715351 3782648
8250 -4668172 -1 379733724 103 37894454 3877583
8300 -4668172 -1 379733723 103 38073041 3972421
8350 -4668172 -1 379733722 103 38251115 4067161
8400 -4668172 -1 379733720 103 38428681 4161803
8450 -4668172 -1 379733719 103 38605744 4256348
8500 -4668172 -1 379733718 103 38782308 4350793
8550 -4668172 -1 379733717 103 38958378 4445140
8600 -4668172 -1 379733715 103 39133959 4539387
8650 -4668172 -1 379733714 103 39309055 4633535
8700 -4668172 -1 379733713 103 39483669 4727583
8750 -4668172 -1 379733711 103 39657807 4821531
8800 -4668172 -1 379733710 103 39831472 4915378
8850 -4668172 -1 379733709 103 40004670 5009124
8900 -4668172 -1 379733707 103 40177402 5102770
8950 -4668172 -1 379733706 103 40349675 5196315
9000 -4668172 -1 379733705 103 40521491 5289758
9050 -4668172 -1 379733703 103 40692855 5383099
9100 -4668172 -1 379733702 103 40863770 5476339
9150 -4668172 -1 379733701 103 41034240 5569477
9200 -4668172 -1 379733699 103 41204269 5662512
9250 -4668172 -1 379733698 103 41373862 5755446
9300 -4668172 -1 379733697 103 41543020 5848277
9350 -4668172 -1 379733695 103 41711748 5941005
9400 -4668172 -1 379733694 103 41880050 6033631
9450 -4668172 -1 379733692 103 42047928 6126154
9500 -4668172 -1 379733691 103 42215387 6218573
9550 -4668172 -1 379733689 103 42382430 6310890
9600 -4668171 -1 379733688 104 42549060 6403104
9650 -4668171 -1 379733687 104 42715281 6495215
9700 -4668171 -1 379733685 104 42881095 6587222
9750 -4668171 -1 379733684 104 43046506 6679126
9800 -4668171 -1 379733682 104 43211518 6770927
9850 -4668171 -1 379733681 104 43376133 6862624
9900 -4668171 -1 379733679 104 43540354 6954218
9950 -4668171 -1 379733678 104 43704185 7045708
10000 -4668171 -1 379733676 104 43867628 7137094
10050 -4668171 -1 379733675 104 44030687 7228377
10100 -4668171 -1 379733673 104 44193364 7319556
10150 -4668171 -1 379733672 104 44355663 7410632
10200 -4668171 -1 379733670 104 44517587 7501604
10250 -4668171 -1 379733669 104 44679137 7592472
10300 -4668171 -1 379733667 104 44840317 7683237
10350 -4668171 -1 379733666 104 45001130 7773898
10400 -4668171 -1 379733664 104 45161579 7864456
10450 -4668171 -1 379733662 104 45321666 7954910
10500 -4668171 -1 379733661 104 45481394 8045260
10550 -4668171 -1 379733659 104 45640765 8135507
10600 -4668171 -1 379733658 104 45799783 8225650
10650 -4668171 -1 379733656 104 45958449 8315690
10700 -4668171 -1 379733655 104 46116767 8405626
10750 -4668171 -1 379733653 104 46274738 8495459
10800 -4668171 -1 379733651 105 46432366 8585189
10850 -4668171 -1 379733650 105 46589652 8674815
10900 -4668171 -1 379733648 105 46746600 8764338
10950 -4668171 -1 379733646 105 46903212 8853758
11000 -4668171 -1 379733645 105 47059489 8943075
11050 -4668171 -1 379733643 105 47215435 9032289
11100 -4668171 -1 379733642 105 47371052 9121399
11150 -4668171 -1 379733640 105 47526342 9210407
11200 -4668171 -1 379733638 105 47681307 9299312
11250 -4668171 -1 379733636 105 47835949 9388115
11300 -4668171 -1 379733635 105 47990272 9476815
11350 -4668171 -1 379733633 105 48144276 9565412
11400 -4668171 -1 379733631 105 48297964 9653906
11450 -4668171 -1 379733630 105 48451339 9742299
11500 -4668171 -1 379733628 105 48604403 9830589
11550 -4668171 -1 379733626 105 48757156 9918777
11600 -4668171 -1 379733625 105 48909603 10006863
11650 -4668171 -1 379733623 105 49061744 10094846
11700 -4668171 -1 379733621 105 49213582 10182728
11750 -4668171 -1 379733619 106 49365118 10270509
11800 -4668171 -1 379733618 106 49516356 10358187
11850 -4668171 -1 379733616 106 49667296 10445764
11900 -4668171 -1 379733614 106 49817940 10533240
11950 -4668171 -1 379733612 106 49968292 10620614
12000 -4668171 -1 379733610 106 50118351 10707887
12050 -4668171 -1 379733609 106 50268121 10795059
12100 -4668170 -1 379733607 106 50417604 10882130
12150 -4668170 -1 379733605 106 50566800 10969100
12200 -4668170 -1 379733603 106 50715713 11055969
12250 -4668170 -1 379733601 106 50864343 11142738
12300 -4668170 -1 379733599 106 51012693 11229406
12350 -4668170 -1 379733598 106 51160764 11315974
12400 -4668170 -1 379733596 106 51308558 11402442
12450 -4668170 -1 379733594 106 51456078 11488810
12500 -4668170 -1 379733592 106 51603323 11575078
12550 -4668170 -1 379733590 106 51750297 11661245
12600 -4668170 -1 379733588 107 51897001 11747314
12650 -4668170 -1 379733586 107 52043436 11833282
12700 -4668170 -1 379733585 107 52189605 11919152
12750 -4668170 -1 379733583 107 52335509 12004922
12800 -4668170 -1 379733581 107 52481149 12090592
12850 -4668170 -1 379733579 107 52626527 12176164
12900 -4668170 -1 379733577 107 52771645 12261637
12950 -4668170 -1 379733575 107 52916504 12347012
13000 -4668170 -1 379733573 107 53061107 12432287
13050 -4668170 -1 379733571 107 53205453 12517465
13100 -4668170 -1 379733569 107 53349546 12602544
13150 -4668170 -1 379733567 107 53493386 12687524
13200 -4668170 -1 379733565 107 53636975 12772407
13250 -4668170 -1 379733563 107 53780314 12857192
13300 -4668170 -1 379733561 107 53923405 12941880
13350 -4668170 -1 379733559 108 54066250 13026469
13400 -4668170 -1 379733557 108 54208849 13110962
13450 -4668170 -1 379733555 108 54351205 13195357
13500 -4668170 -1 379733553 108 54493318 13279655
13550 -4668170 -1 379733551 108 54635191 13363856
13600 -4668170 -1 379733549 108 54776823 13447960
13650 -4668170 -1 379733547 108 54918218 13531968
13700 -4668170 -1 379733545 108 55059376 13615879
13750 -4668170 -1 379733543 108 55200298 13699694
13800 -4668170 -1 379733541 108 55340986 13783412
13850 -4668170 -1 379733539 108 55481442 13867034
13900 -4668170 -1 379733537 108 55621666 13950561
13950 -4668170 -1 379733535 108 55761659 14033992
14000 -4668170 -1 379733533 108 55901424 14117327
14050 -4668170 -1 379733530 109 56040962 14200567
14100 -4668170 -1 379733528 109 56180272 14283711
14150 -4668170 -1 379733526 109 56319358 14366761
14200 -4668169 -1 379733524 109 56458220 14449715
14250 -4668169 -1 379733522 109 56596860 14532575
14300 -4668169 -1 379733520 109 56735278 14615340
14350 -4668169 -1 379733518 109 56873475 14698010
14400 -4668169 -1 379733516 109 57011454 14780586
14450 -4668169 -1 379733513 109 57149215 14863068
14500 -4668169 -1 379733511 109 57286760 14945456
14550 -4668169 -1 379733509 109 57424089 15027750
14600 -4668169 -1 379733507 109 57561204 15109950
14650 -4668169 -1 379733505 110 57698105 15192057
14700 -4668169 -1 379733503 110 57834795 15274070
14750 -4668169 -1 379733500 110 57971274 15355990
14800 -4668169 -1 379733498 110 58107543 15437817
14850 -4668169 -1 379733496 110 58243603 15519551
14900 -4668169 -1 379733494 110 58379456 15601192
14950 -4668169 -1 379733491 110 58515103 15682741
15000 -4668169 -1 379733489 110 58650544 15764197
15050 -4668169 -1 379733487 110 58785781 15845561
15100 -4668169 -1 379733485 110 58920815 15926832
15150 -4668169 -1 379733482 110 59055646 16008012
15200 -4668169 -1 379733480 111 59190277 16089099
15250 -4668169 -1 379733478 111 59324707 16170095
15300 -4668169 -1 379733476 111 59458939 16251000
15350 -4668169 -1 379733473 111 59592972 16331813
15400 -4668169 -1 379733471 111 59726809 16412535
15450 -4668169 -1 379733469 111 59860449 16493166
15500 -4668169 -1 379733466 111 59993894 16573706
15550 -4668169 -1 379733464 111 60127146 16654155
15600 -4668169 -1 379733462 111 60260204 16734513
15650 -4668169 -1 379733459 111 60393070 16814781
15700 -4668169 -1 379733457 111 60525746 16894959
15750 -4668169 -1 379733455 112 60658231 16975047
15800 -4668169 -1 379733452 112 60790527 17055044
15850 -4668169 -1 379733450 112 60922634 17134952
15900 -4668169 -1 379733448 112 61054555 17214770
15950 -4668169 -1 379733445 112 61186288 17294499
16000 -4668168 -1 379733443 112 61317837 17374138
16050 -4668168 -1 379733440 112 61449201 17453688
16100 -4668168 -1 379733438 112 61580381 17533149
16150 -4668168 -1 379733436 112 61711379 17612521
16200 -4668168 -1 379733433 113 61842194 17691805
16250 -4668168 -1 379733431 113 61972829 17770999
16300 -4668168 -1 379733428 113 62103283 17850106
16350 -4668168 -1 379733426 113 62233559 17929124
16400 -4668168 -1 379733423 113 62363655 18008053
16450 -4668168 -1 379733421 113 62493575 18086895
16500 -4668168 -1 379733419 113 62623317 18165649
16550 -4668168 -1 379733416 113 62752884 18244316
16600 -4668168 -1 379733414 113 62882276 18322895
16650 -4668168 -1 379733411 113 63011494 18401386
16700 -4668168 -1 379733409 114 63140538 18479790
16750 -4668168 -1 379733406 114 63269410 18558107
16800 -4668168 -1 379733404 114 63398110 18636338
16850 -4668168 -1 379733401 114 63526639 18714481
16900 -4668168 -1 379733399 114 63654998 18792538
16950 -4668168 -1 379733396 114 63783188 18870508
17000 -4668168 -1 379733393 114 63911209 18948392
17050 -4668168 -1 379733391 114 64039063 19026190
17100 -4668168 -1 379733388 115 64166749 19103902
17150 -4668168 -1 379733386 115 64294270 19181528
17200 -4668168 -1 379733383 115 64421624 19259068
17250 -4668168 -1 379733381 115 64548815 19336523
17300 -4668168 -1 379733378 115 64675841 19413892
17350 -4668168 -1 379733375 115 64802704 19491176
17400 -4668168 -1 379733373 115 64929404 19568375
17450 -4668168 -1 379733370 115 65055943 19645488
17500 -4668168 -1 379733368 115 65182321 19722517
17550 -4668168 -1 379733365 116 65308539 19799462
17600 -4668167 -1 379733362 116 65434597 19876321
17650 -4668167 -1 379733360 116 65560496 19953096
17700 -4668167 -1 379733357 116 65686237 20029787
17750 -4668167 -1 379733355 116 65811821 20106394
17800 -4668167 -1 379733352 116 65937248 20182917
17850 -4668167 -1 379733349 116 66062519 20259356
17900 -4668167 -1 379733347 116 66187635 20335712
17950 -4668167 -1 379733344 117 66312596 20411983
18000 -4668167 -1 379733341 117 66437403 20488172
18050 -4668167 -1 379733338 117 66562057 20564277
18100 -4668167 -1 379733336 117 66686558 20640299
18150 -4668167 -1 379733333 117 66810908 20716238
18200 -4668167 -1 379733330 117 66935106 20792094
18250 -4668167 -1 379733328 117 67059153 20867868
18300 -4668167 -1 379733325 118 67183050 20943559
18350 -4668167 -1 379733322 118 67306799 21019168
18400 -4668167 -1 379733319 118 67430398 21094694
18450 -4668167 -1 379733317 118 67553849 21170138
18500 -4668167 -1 379733314 118 67677153 21245500
18550 -4668167 -1 379733311 118 67800310 21320781
18600 -4668167 -1 379733308 118 67923321 21395980
18650 -4668167 -1 379733306 118 68046187 21471097
18700 -4668167 -1 379733303 119 68168907 21546132
18750 -4668167 -1 379733300 119 68291483 21621087
18800 -4668167 -1 379733297 119 68413916 21695960
18850 -4668167 -1 379733294 119 68536205 21770752
