t earth_x earth_y moon_x moon_y spacecraft_x spacecraft_y
0 -4668173 -1 379733827 101 -8308707 -5460722
50 -4668173 -1 379733827 101 -7848203 -5753333
100 -4668173 -1 379733827 101 -7376629 -6025911
150 -4668173 -1 379733827 101 -6895770 -6277817
200 -4668173 -1 379733827 101 -6407465 -6508712
250 -4668173 -1 379733827 101 -5913545 -6718550
300 -4668173 -1 379733827 101 -5415779 -6907555
350 -4668173 -1 379733827 101 -4915827 -7076186
400 -4668173 -1 379733827 101 -4415209 -7225098
450 -4668173 -1 379733826 101 -3915281 -7355099
500 -4668173 -1 379733826 101 -3417226 -7467104
550 -4668173 -1 379733826 101 -2922058 -7562099
600 -4668173 -1 379733826 101 -2430622 -7641106
650 -4668173 -1 379733826 101 -1943611 -7705157
700 -4668173 -1 379733826 101 -1461578 -7755269
750 -4668173 -1 379733826 101 -984955 -7792429
800 -4668173 -1 379733826 101 -514064 -7817584
850 -4668173 -1 379733826 101 -49139 -7831631
900 -4668173 -1 379733825 101 409665 -7835414
950 -4668173 -1 379733825 101 862258 -7829721
1000 -4668173 -1 379733825 101 1308601 -7815286
1050 -4668173 -1 379733825 101 1748698 -7792787
1100 -4668173 -1 379733825 101 2182589 -7762852
1150 -4668173 -1 379733825 101 2610339 -7726058
1200 -4668173 -1 379733824 101 3032036 -7682936
1250 -4668173 -1 379733824 101 3447785 -7633973
1300 -4668173 -1 379733824 101 3857702 -7579619
1350 -4668173 -1 379733824 101 4261912 -7520282
1400 -4668173 -1 379733824 101 4660547 -7456340
1450 -4668173 -1 379733823 101 5053742 -7388139
1500 -4668173 -1 379733823 101 5441634 -7315997
1550 -4668173 -1 379733823 101 5824363 -7240204
1600 -4668173 -1 379733823 101 6202065 -7161028
1650 -4668173 -1 379733823 101 6574878 -7078715
1700 -4668173 -1 379733822 101 6942936 -6993491
1750 -4668173 -1 379733822 101 7306370 -6905565
1800 -4668173 -1 379733822 101 7665311 -6815129
1850 -4668173 -1 379733821 101 8019883 -6722360
1900 -4668173 -1 379733821 101 8370209 -6627421
1950 -4668173 -1 379733821 101 8716409 -6530463
2000 -4668173 -1 379733821 101 9058596 -6431626
2050 -4668173 -1 379733820 101 9396883 -6331039
2100 -4668173 -1 379733820 101 9731377 -6228821
2150 -4668173 -1 379733820 101 10062183 -6125084
2200 -4668173 -1 379733819 101 10389402 -6019932
2250 -4668173 -1 379733819 101 10713130 -5913458
2300 -4668173 -1 379733819 101 11033461 -5805753
2350 -4668173 -1 379733818 101 11350486 -5696900
2400 -4668173 -1 379733818 101 11664293 -5586975
2450 -4668173 -1 379733818 101 11974964 -5476050
2500 -4668173 -1 379733817 101 12282581 -5364193
2550 -4668173 -1 379733817 101 12587223 -5251467
2600 -4668173 -1 379733816 101 12888965 -5137928
2650 -4668173 -1 379733816 101 13187879 -5023634
2700 -4668173 -1 379733816 101 13484036 -4908634
2750 -4668173 -1 379733815 101 13777504 -4792976
2800 -4668173 -1 379733815 101 14068347 -4676707
2850 -4668173 -1 379733814 101 14356629 -4559867
2900 -4668173 -1 379733814 101 14642410 -4442497
2950 -4668173 -1 379733813 101 14925749 -4324633
3000 -4668173 -1 379733813 101 15206703 -4206311
3050 -4668173 -1 379733813 101 15485327 -4087564
3100 -4668173 -1 379733812 101 15761673 -3968422
3150 -4668173 -1 379733812 101 16035793 -3848915
3200 -4668173 -1 379733811 101 16307735 -3729069
3250 -4668173 -1 379733811 101 16577548 -3608911
3300 -4668173 -1 379733810 101 16845278 -3488466
3350 -4668173 -1 379733810 101 17110970 -3367756
3400 -4668173 -1 379733809 101 17374666 -3246802
3450 -4668173 -1 379733809 101 17636409 -3125626
3500 -4668173 -1 379733808 101 17896239 -3004247
3550 -4668173 -1 379733808 101 18154196 -2882683
3600 -4668173 -1 379733807 101 18410317 -2760952
3650 -4668173 -1 379733806 101 18664639 -2639069
3700 -4668173 -1 379733806 101 18917198 -2517051
3750 -4668173 -1 379733805 101 19168029 -2394911
3800 -4668173 -1 379733805 101 19417165 -2272665
3850 -4668173 -1 379733804 101 19664639 -2150325
3900 -4668173 -1 379733804 101 19910482 -2027904
3950 -4668173 -1 379733803 101 20154726 -1905413
4000 -4668173 -1 379733802 101 20397399 -1782864
4050 -4668173 -1 379733802 101 20638532 -1660267
4100 -4668173 -1 379733801 101 20878151 -1537633
4150 -4668173 -1 379733801 101 21116285 -1414971
4200 -4668173 -1 379733800 101 21352960 -1292291
4250 -4668173 -1 379733799 101 21588202 -1169600
4300 -4668173 -1 379733799 101 21822035 -1046908
4350 -4668173 -1 379733798 101 22054485 -924222
4400 -4668173 -1 379733797 101 22285575 -801550
4450 -4668173 -1 379733797 101 22515329 -678898
4500 -4668173 -1 379733796 101 22743768 -556273
4550 -4668173 -1 379733795 101 22970915 -433682
4600 -4668173 -1 379733795 101 23196791 -311131
4650 -4668173 -1 379733794 101 23421417 -188626
4700 -4668173 -1 379733793 101 23644813 -66172
4750 -4668173 -1 379733793 101 23866999 56226
4800 -4668173 -1 379733792 101 24087995 178562
4850 -4668173 -1 379733791 101 24307819 300832
4900 -4668173 -1 379733790 101 24526489 423031
4950 -4668173 -1 379733790 101 24744023 545156
5000 -4668173 -1 379733789 101 24960439 667201
5050 -4668173 -1 379733788 102 25175753 789163
5100 -4668173 -1 379733787 102 25389983 911039
5150 -4668173 -1 379733787 102 25603145 1032824
5200 -4668173 -1 379733786 102 25815254 1154516
5250 -4668173 -1 379733785 102 26026325 1276110
5300 -4668173 -1 379733784 102 26236375 1397605
5350 -4668173 -1 379733783 102 26445417 1518997
5400 -4668173 -1 379733783 102 26653467 1640284
5450 -4668173 -1 379733782 102 26860538 1761462
5500 -4668173 -1 379733781 102 27066644 1882529
5550 -4668173 -1 379733780 102 27271798 2003484
5600 -4668173 -1 379733779 102 27476014 2124322
5650 -4668173 -1 379733778 102 27679305 2245044
5700 -4668173 -1 379733778 102 27881682 2365646
5750 -4668173 -1 379733777 102 28083160 2486126
5800 -4668173 -1 379733776 102 28283749 2606483
5850 -4668173 -1 379733775 102 28483461 2726714
5900 -4668173 -1 379733774 102 28682309 2846819
5950 -4668173 -1 379733773 102 28880302 2966795
6000 -4668173 -1 379733772 102 29077454 3086642
6050 -4668173 -1 379733771 102 29273773 3206357
6100 -4668173 -1 379733770 102 29469272 3325939
6150 -4668172 -1 379733770 102 29663959 3445387
6200 -4668172 -1 379733769 102 29857847 3564700
6250 -4668172 -1 379733768 102 30050944 3683876
6300 -4668172 -1 379733767 102 30243260 3802915
6350 -4668172 -1 379733766 102 30434806 3921816
6400 -4668172 -1 379733765 102 30625590 4040577
6450 -4668172 -1 379733764 102 30815621 4159197
6500 -4668172 -1 379733763 102 31004910 4277676
6550 -4668172 -1 379733762 102 31193464 4396013
6600 -4668172 -1 379733761 102 31381293 4514207
6650 -4668172 -1 379733760 102 31568404 4632257
6700 -4668172 -1 379733759 102 31754808 4750163
6750 -4668172 -1 379733758 102 31940510 4867924
6800 -4668172 -1 379733757 102 32125521 4985540
6850 -4668172 -1 379733756 102 32309847 5103009
6900 -4668172 -1 379733755 102 32493497 5220332
6950 -4668172 -1 379733754 102 32676477 5337507
7000 -4668172 -1 379733753 102 32858797 5454535
7050 -4668172 -1 379733752 102 33040462 5571414
7100 -4668172 -1 379733751 102 33221481 5688146
7150 -4668172 -1 379733750 102 33401861 5804728
7200 -4668172 -1 379733748 102 33581608 5921161
7250 -4668172 -1 379733747 102 33760729 6037445
7300 -4668172 -1 379733746 102 33939231 6153579
7350 -4668172 -1 379733745 102 34117121 6269563
7400 -4668172 -1 379733744 102 34294405 6385397
7450 -4668172 -1 379733743 102 34471090 6501081
7500 -4668172 -1 379733742 102 34647182 6616614
7550 -4668172 -1 379733741 102 34822687 6731996
7600 -4668172 -1 379733740 102 34997612 6847227
7650 -4668172 -1 379733738 102 35171962 6962307
7700 -4668172 -1 379733737 102 35345743 7077236
7750 -4668172 -1 379733736 102 35518961 7192014
7800 -4668172 -1 379733735 102 35691622 7306641
7850 -4668172 -1 379733734 102 35863731 7421116
7900 -4668172 -1 379733733 102 36035294 7535440
7950 -4668172 -1 379733731 103 36206317 7649613
8000 -4668172 -1 379733730 103 36376804 7763634
8050 -4668172 -1 379733729 103 36546761 7877504
8100 -4668172 -1 379733728 103 36716194 7991223
8150 -4668172 -1 379733727 103 36885106 8104790
8200 -4668172 -1 379733725 103 37053504 8218206
8250 -4668172 -1 379733724 103 37221392 8331471
8300 -4668172 -1 379733723 103 37388776 8444585
8350 -4668172 -1 379733722 103 37555659 8557548
8400 -4668172 -1 379733720 103 37722047 8670360
8450 -4668172 -1 379733719 103 37887944 8783021
8500 -4668172 -1 379733718 103 38053355 8895532
8550 -4668172 -1 379733717 103 38218284 9007892
8600 -4668172 -1 379733715 103 38382737 9120102
8650 -4668172 -1 379733714 103 38546716 9232161
8700 -4668172 -1 379733713 103 38710227 9344071
8750 -4668172 -1 379733711 103 38873274 9455830
8800 -4668172 -1 379733710 103 39035861 9567440
8850 -4668172 -1 379733709 103 39197993 9678900
8900 -4668172 -1 379733707 103 39359672 9790211
8950 -4668172 -1 379733706 103 39520904 9901373
9000 -4668172 -1 379733705 103 39681691 10012385
9050 -4668172 -1 379733703 103 39842039 10123249
9100 -4668172 -1 379733702 103 40001951 10233965
9150 -4668172 -1 379733701 103 40161431 10344532
9200 -4668172 -1 379733699 103 40320483 10454951
9250 -4668172 -1 379733698 103 40479109 10565222
9300 -4668172 -1 379733697 103 40637314 10675346
9350 -4668172 -1 379733695 103 40795102 10785322
9400 -4668172 -1 379733694 103 40952476 10895151
9450 -4668172 -1 379733692 103 41109439 11004833
9500 -4668172 -1 379733691 103 41265996 11114368
9550 -4668172 -1 379733689 103 41422148 11223758
9600 -4668171 -1 379733688 104 41577900 11333001
9650 -4668171 -1 379733687 104 41733256 11442098
9700 -4668171 -1 379733685 104 41888217 11551049
9750 -4668171 -1 379733684 104 42042788 11659855
9800 -4668171 -1 379733682 104 42196972 11768516
9850 -4668171 -1 379733681 104 42350772 11877033
9900 -4668171 -1 379733679 104 42504190 11985405
9950 -4668171 -1 379733678 104 42657231 12093633
10000 -4668171 -1 379733676 104 42809896 12201716
10050 -4668171 -1 379733675 104 42962190 12309657
10100 -4668171 -1 379733673 104 43114114 12417453
10150 -4668171 -1 379733672 104 43265673 12525107
10200 -4668171 -1 379733670 104 43416868 12632618
10250 -4668171 -1 379733669 104 43567702 12739987
10300 -4668171 -1 379733667 104 43718180 12847213
10350 -4668171 -1 379733666 104 43868302 12954298
10400 -4668171 -1 379733664 104 44018072 13061241
10450 -4668171 -1 379733662 104 44167492 13168043
10500 -4668171 -1 379733661 104 44316566 13274704
10550 -4668171 -1 379733659 104 44465296 13381224
10600 -4668171 -1 379733658 104 44613684 13487604
10650 -4668171 -1 379733656 104 44761734 13593844
10700 -4668171 -1 379733655 104 44909446 13699944
10750 -4668171 -1 379733653 104 45056825 13805905
10800 -4668171 -1 379733651 105 45203873 13911727
10850 -4668171 -1 379733650 105 45350591 14017410
10900 -4668171 -1 379733648 105 45496983 14122955
10950 -4668171 -1 379733646 105 45643051 14228361
11000 -4668171 -1 379733645 105 45788797 14333630
11050 -4668171 -1 379733643 105 45934224 14438761
11100 -4668171 -1 379733642 105 46079333 14543755
11150 -4668171 -1 379733640 105 46224128 14648612
11200 -4668171 -1 379733638 105 46368610 14753332
11250 -4668171 -1 379733636 105 46512781 14857917
11300 -4668171 -1 379733635 105 46656645 14962365
11350 -4668171 -1 379733633 105 46800202 15066678
11400 -4668171 -1 379733631 105 46943456 15170855
11450 -4668171 -1 379733630 105 47086408 15274898
11500 -4668171 -1 379733628 105 47229060 15378805
11550 -4668171 -1 379733626 105 47371415 15482579
11600 -4668171 -1 379733625 105 47513474 15586219
11650 -4668171 -1 379733623 105 47655240 15689724
11700 -4668171 -1 379733621 105 47796715 15793097
11750 -4668171 -1 379733619 106 47937900 15896336
11800 -4668171 -1 379733618 106 48078798 15999443
11850 -4668171 -1 379733616 106 48219410 16102417
11900 -4668171 -1 379733614 106 48359739 16205259
11950 -4668171 -1 379733612 106 48499786 16307970
12000 -4668171 -1 379733610 106 48639554 16410549
12050 -4668171 -1 379733609 106 48779044 16512996
12100 -4668170 -1 379733607 106 48918257 16615313
12150 -4668170 -1 379733605 106 49057197 16717500
12200 -4668170 -1 379733603 106 49195864 16819556
12250 -4668170 -1 379733601 106 49334260 16921482
12300 -4668170 -1 379733599 106 49472388 17023279
12350 -4668170 -1 379733598 106 49610249 17124946
12400 -4668170 -1 379733596 106 49747844 17226485
12450 -4668170 -1 379733594 106 49885176 17327895
12500 -4668170 -1 379733592 106 50022246 17429176
12550 -4668170 -1 379733590 106 50159056 17530330
12600 -4668170 -1 379733588 107 50295607 17631356
12650 -4668170 -1 379733586 107 50431901 17732254
12700 -4668170 -1 379733585 107 50567940 17833025
12750 -4668170 -1 379733583 107 50703725 17933670
12800 -4668170 -1 379733581 107 50839259 18034188
12850 -4668170 -1 379733579 107 50974542 18134580
12900 -4668170 -1 379733577 107 51109576 18234846
12950 -4668170 -1 379733575 107 51244362 18334987
13000 -4668170 -1 379733573 107 51378903 18435002
13050 -4668170 -1 379733571 107 51513200 18534893
13100 -4668170 -1 379733569 107 51647253 18634659
13150 -4668170 -1 379733567 107 51781066 18734300
13200 -4668170 -1 379733565 107 51914639 18833818
13250 -4668170 -1 379733563 107 52047973 18933211
13300 -4668170 -1 379733561 107 52181071 19032482
13350 -4668170 -1 379733559 108 52313933 19131629
13400 -4668170 -1 379733557 108 52446561 19230653
13450 -4668170 -1 379733555 108 52578956 19329555
13500 -4668170 -1 379733553 108 52711120 19428335
13550 -4668170 -1 379733551 108 52843054 19526993
13600 -4668170 -1 379733549 108 52974760 19625529
13650 -4668170 -1 379733547 108 53106239 19723944
13700 -4668170 -1 379733545 108 53237492 19822238
13750 -4668170 -1 379733543 108 53368520 19920411
13800 -4668170 -1 379733541 108 53499326 20018463
13850 -4668170 -1 379733539 108 53629909 20116396
13900 -4668170 -1 379733537 108 53760272 20214208
13950 -4668170 -1 379733535 108 53890416 20311901
14000 -4668170 -1 379733533 108 54020341 20409475
