     1 Ceres             3.34  0.12 0.100  910.0
     2 Pallas            4.13  0.11 0.140  521.0
     3 Juno              5.33  0.32 0.220  243.0
     4 Vesta             3.20  0.32 0.380  500.0
     5 Astraea           6.85  0.15 0.140  124.0
     6 Hebe              5.71  0.24 0.250  191.0
     7 Iris              5.51  0.15 0.210  202.0
     8 Flora             6.49  0.28 0.220  141.0
     9 Metis             6.28  0.17 0.010  737.2
    10 Hygiea            5.43  0.15 0.075  427.0
    11 Parthenope        6.55  0.15 0.150  161.0
    12 Victoria          7.24  0.22 0.160  116.0
    13 Egeria            6.74  0.15 0.099  214.0
    14 Irene             6.30  0.15 0.010  730.5
    15 Eunomia           5.28  0.23 0.190  271.0
    16 Psyche            5.90  0.20 0.100  263.0
    17 Thetis            7.76  0.15 0.150   93.0
    18 Melpomene         6.51  0.25 0.220  147.0
    19 Fortuna           7.13  0.10 0.010  498.4
    20 Massalia          6.50  0.25 0.190  150.0
    21 Lutetia           7.35  0.11 0.200   99.0
    22 Kalliope          6.45  0.21 0.120  186.0
    23 Thalia            6.95  0.15 0.210  111.0
    24 Themis            7.08  0.19 0.010  510.0
    25 Phocaea           7.83  0.15 0.220   78.0
    26 Proserpina        7.50  0.15 0.160   98.0
    27 Euterpe           7.00  0.15 0.010  529.2
    28 Bellona           7.09  0.15 0.150  126.0
    29 Amphitrite        5.85  0.20 0.160  219.0
    30 Urania            7.53  0.23 0.130  104.0
    31 Euphrosyne        6.74  0.15 0.070  247.0
    32 Pomona            7.56  0.15 0.250   82.0
    33 Polyhymnia        8.55  0.33 0.010  259.2
    34 Circe             8.51  0.15 0.057  118.0
    35 Leukothea         8.50  0.15 0.058  108.0
    36 Atalante          8.46  0.15 0.076  109.0
    37 Fides             7.29  0.24 0.170  112.0
    38 Leda              8.32  0.15 0.058  120.0
    39 Laetitia          6.10  0.15 0.290  158.0
    40 Harmonia          7.00  0.15 0.200  110.0
    41 Daphne            7.12  0.10 0.073  181.0
    42 Isis              7.53  0.15 0.120  106.0
    43 Ariadne           7.93  0.11 0.280   65.0
    44 Nysa              7.03  0.46 0.490   73.0
    45 Eugenia           7.46  0.07 0.048  213.0
    46 Hestia            8.36  0.06 0.046  131.0
    47 Aglaja            7.84  0.16 0.072  132.0
    48 Doris             6.90  0.15 0.064  225.0
    49 Pales             7.80  0.15 0.051  153.0
    50 Virginia          9.24  0.15 0.010  188.6
    51 Nemausa           7.35  0.08 0.086  152.0
    52 Europa            6.31  0.18 0.057  311.0
    53 Kalypso           8.81  0.15 0.045  119.0
    54 Alexandra         7.66  0.15 0.050  170.0
    55 Pandora           7.80  0.15 0.320   67.0
    56 Melete            8.31  0.15 0.062  117.0
    57 Mnemosyne         7.03  0.15 0.210  116.0
    58 Concordia         8.86  0.15 0.056   97.0
    59 Elpis             7.93  0.15 0.048  173.0
    60 Echo              8.21  0.27 0.150   61.0
    61 Danae             7.68  0.15 0.210   83.0
    62 Erato             8.76  0.15 0.090   99.0
    63 Ausonia           7.55  0.25 0.170  108.0
    64 Angelina          7.67  0.48 0.010  388.7
    65 Cybele            6.62  0.01 0.057  244.0
    66 Maja              9.36  0.15 0.050   78.0
    67 Asia              8.28  0.15 0.210   60.0
    68 Leto              6.78  0.05 0.200  127.0
    69 Hesperia          7.05  0.19 0.120  142.0
    70 Panopaea          8.11  0.14 0.070  126.0
    71 Niobe             7.30  0.40 0.280   87.0
    72 Feronia           8.94  0.15 0.056   89.0
    73 Klytia            9.00  0.15 0.210   45.0
    74 Galatea           8.66  0.15 0.034  122.0
    75 Eurydike          8.96  0.23 0.120   58.0
    76 Freia             7.90  0.15 0.029  190.0
    77 Frigga            8.52  0.16 0.130   70.0
    78 Diana             8.09  0.08 0.064  125.0
    79 Eurynome          7.96  0.25 0.270   68.0
    80 Sappho            7.98  0.15 0.150   81.0
    81 Terpsichore       8.48  0.15 0.046  124.0
    82 Alkmene           8.40  0.28 0.170   63.0
    83 Beatrix           8.66  0.15 0.069   84.0
    84 Klio              9.32  0.15 0.070   82.0
    85 Io                7.61  0.15 0.068  156.0
    86 Semele            8.54  0.15 0.043  126.0
    87 Sylvia            6.94  0.15 0.040  270.0
    88 Thisbe            7.04  0.14 0.010  519.5
    89 Julia             6.60  0.15 0.160  158.0
    90 Antiope           8.27  0.15 0.051  124.0
    91 Aegina            8.84  0.15 0.042  113.0
    92 Undina            6.61  0.15 0.200  131.0
    93 Minerva           7.70  0.15 0.085  145.0
    94 Aurora            7.57  0.15 0.038  211.0
    95 Arethusa          7.84  0.15 0.062  144.0
    96 Aegle             7.67  0.15 0.038  174.0
    97 Klotho            7.63  0.15 0.190   86.0
    98 Ianthe            8.84  0.15 0.041  108.0
    99 Dike              9.43  0.15 0.010  172.8
   100 Hekate            7.67  0.15 0.160   91.0
   101 Helena            8.33  0.35 0.150   68.0
   102 Miriam            9.26  0.15 0.049   85.0
   103 Hera              7.66  0.15 0.170   94.0
   104 Klymene           8.27  0.15 0.052  127.0
   105 Artemis           8.57  0.10 0.032  123.0
   106 Dione             7.41  0.15 0.083  151.0
   107 Camilla           7.08  0.08 0.060  237.0
   108 Hecuba            8.09  0.15 0.190   67.0
   109 Felicitas         8.75  0.04 0.060   91.0
   110 Lydia             7.80  0.20 0.170   88.0
   111 Ate               8.02  0.15 0.064  139.0
   112 Iphigenia         9.84  0.15 0.037   75.0
   113 Amalthea          8.74  0.35 0.270   47.0
   114 Kassandra         8.26  0.15 0.084  103.0
   115 Thyra             7.51  0.12 0.250   83.0
   116 Sirona            7.82  0.15 0.220   75.0
   117 Lomia             7.95  0.15 0.040  154.0
   118 Peitho            9.14  0.15 0.200   45.0
   119 Althaea           8.42  0.15 0.170   60.0
   120 Lachesis          7.75  0.15 0.045  178.0
   121 Hermione          7.31  0.15 0.042  216.0
   122 Gerda             7.87  0.15 0.200   86.0
   123 Brunhild          8.89  0.15 0.190   49.0
   124 Alkeste           8.11  0.19 0.150   79.0
   125 Liberatrix        9.04  0.33 0.180   47.0
   126 Velleda           9.27  0.15 0.150   46.0
   127 Johanna           8.30  0.15 0.010  290.8
   128 Nemesis           7.49  0.15 0.045  194.0
   129 Antigone          7.07  0.33 0.170  124.0
   130 Elektra           7.12  0.15 0.089  188.0
   131 Vala             10.03  0.15 0.095   43.0
   132 Aethra            9.21  0.15 0.140   46.0
   133 Cyrene            7.98  0.13 0.210   69.0
   134 Sophrosyne        8.76  0.28 0.041  121.0
   135 Hertha            8.23  0.15 0.130   81.0
   136 Austria           9.69  0.15 0.130   41.0
   137 Meliboea          8.05  0.15 0.048  150.0
   138 Tolosa            8.75  0.15 0.180   47.0
   139 Juewa             7.78  0.15 0.051  162.0
   140 Siwa              8.34  0.15 0.071  114.0
   141 Lumen             8.20  0.15 0.036  135.0
   142 Polana           10.27  0.15 0.042   57.0
   143 Adria             9.12  0.15 0.041   92.0
   144 Vibilia           7.91  0.17 0.059  146.0
   145 Adeona            8.13  0.15 0.044  154.0
   146 Lucina            8.20  0.11 0.052  136.0
   147 Protogeneia       8.27  0.15 0.029  137.0
   148 Gallia            7.63  0.15 0.140  104.0
   149 Medusa           10.72  0.15 0.150   22.0
   150 Nuwa              8.23  0.15 0.034  157.0
   151 Abundantia        9.24  0.15 0.140   46.0
   152 Atala             8.33  0.15 0.010  286.8
   153 Hilda             7.48  0.15 0.060  175.0
   154 Bertha            7.58  0.15 0.070  191.0
   155 Scylla           11.39  0.15 0.021   49.0
   156 Xanthippe         8.64  0.15 0.040  126.0
   157 Dejanira         10.60  0.15 0.150   19.0
   158 Koronis           9.27  0.15 0.170   39.0
   159 Aemilia           8.12  0.15 0.061  131.0
   160 Una               9.08  0.15 0.059   84.0
   161 Athor             9.15  0.13 0.120   45.0
   162 Laurentia         8.83  0.15 0.047  105.0
   163 Erigone           9.47 -0.04 0.047   76.0
   164 Eva               8.89  0.15 0.053  109.0
   165 Loreley           7.65  0.15 0.069  160.0
   166 Rhodope           9.89  0.15 0.010  139.8
   167 Urda              9.24  0.15 0.210   42.0
   168 Sibylla           7.94  0.15 0.050  153.0
   169 Zelia             9.56  0.15 0.190   36.0
   170 Maria             9.39  0.15 0.140   46.0
   171 Ophelia           8.31  0.15 0.053  121.0
   172 Baucis            8.79  0.15 0.120   64.0
   173 Ino               7.66  0.01 0.053  159.0
   174 Phaedra           8.48  0.15 0.140   71.0
   175 Andromache        8.31  0.15 0.065  107.0
   176 Iduna             7.90  0.15 0.053  124.0
   177 Irma              9.49  0.15 0.048   75.0
   178 Belisana          9.38  0.15 0.210   37.0
   179 Klytaemnestra     8.15  0.15 0.140   80.0
   180 Garumna          10.31  0.15 0.110   32.0
   181 Eucharis          7.84  0.15 0.120  107.0
   182 Elsa              9.12  0.15 0.160   45.0
   183 Istria            9.68  0.15 0.160   35.0
   184 Dejopeja          8.31  0.15 0.180   68.0
   185 Eunike            7.62  0.15 0.053  164.0
