"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
20000433,Y,N,"   433 Eros (A898 PA)",16.84,AMO,10.42,0.46,0.25,0.921,0.531,0.2228,1.458,1.133,10.83,1.76,0.148,1.78,1893-10-29
20000719,Y,N,"   719 Albert (A911 TB)",,AMO,15.59,,,,,0.5470,2.636,1.194,11.58,4.28,0.201,4.08,1911-10-04
20000887,Y,N,"   887 Alinda (A918 AA)",4.2,AMO,13.88,-0.12,0.31,0.832,0.436,0.5709,2.472,1.061,9.40,3.89,0.0789,3.88,1918-02-03
20001036,Y,N,"  1036 Ganymed (A924 UB)",37.675,AMO,9.26,0.30,0.238,0.842,0.417,0.5329,2.666,1.245,26.69,4.35,0.345,4.09,1924-10-23
20001221,Y,N,"  1221 Amor (1932 EA1)",1.0,AMO,17.38,,,,,0.4357,1.919,1.083,11.88,2.66,0.105,2.76,1932-03-12
20001566,Y,Y,"  1566 Icarus (1949 MA)",1.0,APO,16.59,,0.51,0.774,0.520,0.8269,1.078,0.187,22.80,1.12,0.0338,1.97,1949-07-01
20001580,Y,N,"  1580 Betulia (1950 KA)",5.8,AMO,14.69,0.00,0.08,0.656,0.249,0.4870,2.198,1.127,52.15,3.26,0.136,3.27,1952-10-27
20001620,Y,Y,"  1620 Geographos (1951 RA)",2.56,APO,15.27,,0.290,0.862,0.471,0.3355,1.246,0.828,13.34,1.39,0.03,1.66,1951-09-14
20001627,Y,N,"  1627 Ivar (1929 SH)",9.12,AMO,12.84,0.60,0.15,0.872,0.459,0.3964,1.864,1.125,8.45,2.54,0.112,2.60,1929-09-25
20001685,Y,N,"  1685 Toro (1948 OA)",3.4,APO,14.32,,0.31,0.880,0.470,0.4361,1.368,0.771,9.38,1.6,0.0515,1.96,1948-07-17
20001862,Y,Y,"  1862 Apollo (1932 HA)",1.5,APO,16.09,0.09,0.25,0.819,0.481,0.5599,1.471,0.647,6.35,1.78,0.0261,2.29,1930-12-13
20001863,Y,N,"  1863 Antinous (1948 EA)",2.1,APO,15.46,,0.24,0.763,0.359,0.6059,2.26,0.891,18.39,3.4,0.184,3.63,1948-03-05
20001864,Y,N,"  1864 Daedalus (1971 FA)",3.7,APO,14.88,,0.273,0.830,0.500,0.6144,1.461,0.563,22.22,1.77,0.269,2.36,1971-03-24
20001865,Y,N,"  1865 Cerberus (1971 UA)",1.2,APO,16.79,,0.22,0.790,0.442,0.4669,1.08,0.576,16.10,1.12,0.156,1.58,1971-11-10
20001866,Y,N,"  1866 Sisyphus (1972 XA)",8.48,APO,12.55,,0.15,,,0.5382,1.894,0.875,41.21,2.61,0.103,2.91,1955-01-26
20001915,Y,N,"  1915 Quetzalcoatl (1953 EA)",0.5,AMO,18.05,0.10,0.21,0.784,0.430,0.5703,2.544,1.093,20.40,4.06,0.108,3.99,1953-03-09
20001916,Y,N,"  1916 Boreas (1953 RA)",3.5,AMO,14.95,,,0.852,0.407,0.4496,2.272,1.251,12.88,3.43,0.252,3.29,1953-09-01
20001917,Y,N,"  1917 Cuyo (1968 AA)",5.7,AMO,14.40,,0.195,,,0.5057,2.15,1.063,23.96,3.15,0.0719,3.24,1954-05-06
20001943,Y,N,"  1943 Anteros (1973 EC)",2.3,AMO,15.71,,0.17,0.841,0.444,0.2560,1.431,1.064,8.71,1.71,0.0616,1.80,1973-03-10
20001980,Y,N,"  1980 Tezcatlipoca (1950 LA)",4.3,AMO,13.87,,0.25,0.955,0.455,0.3647,1.71,1.086,26.87,2.24,0.245,2.33,1950-06-19
20001981,Y,Y,"  1981 Midas (1973 EA)",3.4,APO,15.28,,,,,0.6501,1.777,0.622,39.82,2.37,0.00314,2.93,1973-03-06
20002059,Y,N,"  2059 Baboquivari (1963 UA)",,AMO,15.98,,,,,0.5319,2.642,1.237,11.02,4.29,0.244,4.05,1963-10-16
20002061,Y,N,"  2061 Anza (1960 UA)",2.6,AMO,16.70,,,0.825,0.350,0.5359,2.265,1.051,3.80,3.41,0.0553,3.48,1960-10-22
20002062,Y,N,"  2062 Aten (1976 AA)",1.1,ATE,17.11,,0.26,0.930,0.460,0.1829,0.967,0.790,18.93,0.951,0.112,1.14,1955-12-17
20002063,Y,N,"  2063 Bacchus (1977 HB)",1.024,APO,17.23,,0.203,,,0.3494,1.078,0.701,9.43,1.12,0.0667,1.45,1977-04-24
20002100,Y,N,"  2100 Ra-Shalom (1978 RA)",2.3,ATE,16.23,0.12,0.13,0.712,0.310,0.4365,0.832,0.469,15.76,0.759,0.15,1.20,1975-10-03
20002101,Y,Y,"  2101 Adonis (1936 CA)",0.6,APO,18.72,,,,,0.7643,1.874,0.442,1.32,2.56,0.0115,3.31,1936-02-21
20002102,Y,Y,"  2102 Tantalus (1975 YA)",1.649,APO,15.97,,0.245,,,0.2993,1.29,0.904,64.00,1.47,0.0419,1.68,1975-12-30
20002135,Y,Y,"  2135 Aristaeus (1977 HA)",,APO,18.05,,,,,0.5028,1.6,0.795,23.07,2.02,0.00884,2.40,1977-04-17
