#||pos (a.u.)||, ||vel (m/s)||
9.229303580476294,9978.236393382927
9.22658580818815,9981.16247601252
9.223878722435096,9984.078753257667
9.221182456660243,9986.985014332779
9.218497143945047,9989.881050996475
9.215822916983933,9992.766657356855
9.213159908058213,9995.641629697975
9.210508249008914,9998.505766570983
9.207868071209354,10001.358868956255
9.205239505538076,10004.200740461636
9.202622682352942,10007.031187518078
9.200017731467145,10009.850019519321
9.197424782127278,10012.657048882493
9.194843962993346,10015.45209107206
9.192275402121243,10018.23496463115
9.189719226948082,10021.005490999654
9.187175564278407,10023.763494301938
9.184644540271057,10026.508801232776
9.182126280426719,10029.2412409384
9.179620909575897,10031.960644890107
9.177128551866922,10034.66684678099
9.174649330753823,10037.35968246028
9.172183368983843,10040.038989903136
9.169730788584287,10042.704609284889
9.167291710850277,10045.356383148855
9.16486625633428,10047.994156394268
9.162454544836788,10050.617776209165
9.160056695398193,10053.227091997873
9.157672826291845,10055.821955258703
9.155303055017802,10058.402219418009
9.152947498296564,10060.967739673797
9.15060627206229,10063.518372886885
9.148279491455098,10066.053977510666
9.145967270812065,10068.57441367874
9.143669723658759,10071.07954336758
9.14138696270194,10073.56923042882
9.139119099823134,10076.043340577222
9.136866246073074,10078.501741373668
9.134628511667009,10080.94430220223
9.13240600598105,10083.370894228914
9.130198837549738,10085.781390319466
9.128007114064998,10088.175664853748
9.12583094237519,10090.553593414803
9.123670428482772,10092.91505261595
9.121525677540816,10095.259920017512
9.119396793848184,10097.588074081475
9.117283880843118,10099.899394224716
9.115187041095693,10102.193760968315
9.113106376299818,10104.471056140834
9.11104198726575,10106.731163090071
9.108993973914375,10108.973966854806
9.106962435274566,10111.199354123293
9.104947469482129,10113.407212956741
9.102949173778757,10115.5974325905
9.100967644510522,10117.769903291943
9.099002977125481,10119.92451628216
9.097055266170472,10122.061163725792
9.095124605287388,10124.179738747865
9.093211087209125,10126.28013544071
9.091314803754875,10128.36224889704
9.089435845825355,10130.42597535789
9.087574303399442,10132.471212239026
9.085730265531092,10134.497858046825
9.08390382034622,10136.50581237634
9.08209505503989,10138.494975906468
9.080304055873837,10140.465250363697
9.078530908174319,10142.416538457006
9.076775696330003,10144.34874378276
9.075038503789504,10146.26177068416
9.073319413057066,10148.155524161199
9.071618505686663,10150.029910044706
9.069935862276122,10151.884835123094
9.068271562460872,10153.72020726004
9.066625684908043,10155.535935570895
9.064998307311884,10157.331930544708
9.063389506390989,10159.108104048019
9.061799357887068,10160.86436922488
9.06022793656464,10162.600640353627
9.05867531621101,10164.316832642247
9.05714156963475,10166.012862061498
9.055626768663037,10167.688645427932
9.05413098413915,10169.344100379605
9.052654285919328,10170.9791453125
9.051196742868688,10172.593699378218
9.049758422856153,10174.187682550673
9.048339392748732,10175.761015752962
9.046939718405657,10177.313621030917
9.045559464673426,10178.845421740492
9.044198695382793,10180.35634254943
9.042857473345988,10181.84630935228
9.04153586035461,10183.315249304183
9.040233917178636,10184.763090723554
9.03895170356563,10186.189762924207
9.037689278239295,10187.59519607605
9.036446698896675,10188.979321152356
9.035224022203856,10190.342069995475
9.034021303790585,10191.683375515437
9.032838598245704,10193.003171970342
9.031675959115043,10194.301394985798
9.030533438900347,10195.577981426992
9.02941108905881,10196.832869299635
9.028308960002757,10198.065997615995
9.027227101098697,10199.277306290513
9.026165560665454,10200.466736102013
9.025124385971475,10201.63422870189
9.024103623231323,10202.779726637466
9.023103317601162,10203.903173443116
9.022123513174533,10205.004513819942
9.021164252979052,10206.083693634571
9.02022557897283,10207.140659916178
9.019307532040786,10208.17536093989
9.018410151991365,10209.187746323325
9.01753347755409,10210.177767096495
9.016677546378222,10211.145375725877
9.015842395032642,10212.090526065696
9.015028059006461,10213.013173210937
9.014234572709153,10213.913273393431
9.01346196947085,10214.790783938734
9.012710281542324,10215.645663124473
9.01197954009349,10216.477870123243
9.01126977521049,10217.28736509761
9.010581015892411,10218.074109373287
9.009913290048749,10218.838065571985
9.00926662449818,10219.57919763669
9.008641044968428,10220.29747074633
9.00803657609588,10220.992851161058
9.007453241423818,10221.665306250894
9.006891063400596,10222.314804609816
9.006350063378196,10222.941316093555
9.005830261611035,10223.544811820453
9.005331677254878,10224.125264161126
9.004854328365672,10224.68264673957
9.00439823189822,10225.216934472908
9.003963403705148,10225.728103657902
9.00354985853706,10226.216131990419
9.003157610042935,10226.680998469927
9.00278667077027,10227.122683440599
9.00243705216591,10227.541168638923
9.002108764577832,10227.936437163693
9.001801817257743,10228.30847336865
9.00151621836381,10228.657262684223
9.001251974962473,10228.98279141874
9.001009093027951,10229.285046677052
9.000787577439572,10229.564016552147
9.000587431979131,10229.819690374796
9.000408659328661,10230.05205887748
9.000251261069613,10230.261114337216
9.00011523768383,10230.446850555285
9.000000588555613,10230.609262731128
8.999907311973883,10230.74834734546
8.999835405134036,10230.86410209291
8.999784864139345,10230.956525830861
8.999755684001254,10231.025618578416
8.99974785863926,10231.071381708545
8.999761380882253,10231.093818005262
8.999796242470298,10231.092931611363
8.99985243405668,10231.068728012195
8.999929945210233,10231.021214003487
9.000028764417822,10230.950397641873
9.000148879086687,10230.856288210196
9.000290275546815,10230.73889621556
9.0004529390535,10230.598233350534
9.000636853789112,10230.43431245466
9.000842002864838,10230.24714766553
9.001068368323736,10230.036754369727
9.001315931143662,10229.80314903476
9.001584671238708,10229.546349117902
9.001874567458884,10229.266373152313
9.002185597588891,10228.963241007392
9.00251773834793,10228.636974176057
9.002870965392214,10228.287595916247
9.003245253320424,10227.915131080536
9.003640575679178,10227.519605836897
9.004056904968136,10227.101047619575
9.004494212645186,10226.659485047638
9.004952469131206,10226.194947842776
9.005431643814232,10225.707466787999
9.005931705053085,10225.197073713793
9.006452620180378,10224.663801502327
9.006994355504933,10224.107684133462
9.007556876314315,10223.528756797512
9.008140146878247,10222.92705585293
9.008744130451106,10222.30261878163
9.009368789274092,10221.655484314711
9.01001408457804,10220.985692525126
9.010679976587046,10220.293284868565
9.011366424523114,10219.578304177736
9.012073386611753,10218.840794582073
9.01280082008795,10218.080801332702
9.01354868120103,10217.298370629798
9.014316925218145,10216.493549623756
9.015105506426531,10215.666386457448
9.015914378134502,10214.816930503344
9.016743492673461,10213.945232690365
9.017592801402763,10213.051345626991
9.01846225471715,10212.135323480088
9.01935180205555,10211.197221725624
9.02026139190995,10210.237096878789
9.021190971833061,10209.255006258036
9.022140488443757,10208.251007920084
9.023109887431554,10207.225160776736
9.024099113560819,10206.177524620853
9.025108110674234,10205.108160165353
9.026136821695754,10204.01712913643
9.02718518863352,10202.904494382396
9.028253152583124,10201.770319970548
9.029340653731552,10200.614671259911
9.030447631362161,10199.437614924298
9.031574023860161,10198.239218898329
9.032719768718055,10197.019552431391
9.033884802542596,10195.778686170672
9.035069061063558,10194.51669206263
9.03627247914349,10193.23364310995
9.037494990786854,10191.929613063268
9.038736529146727,10190.604676222178
9.039997026528592,10189.258907522575
9.041276414393007,10187.892382869253
9.042574623359899,10186.505179397524
9.043891583214693,10185.097375444313
9.045227222915086,10183.669050499913
9.046581470598655,10182.220285136942
9.047954253590706,10180.75116090338
9.049345498411979,10179.261760227388
9.050755130785843,10177.75216634151
9.052183075644773,10176.22246323044
9.053629257135794,10174.672735638149
9.055093598625428,10173.103069179546
9.056576022705347,10171.513550386666
9.058076451197724,10169.904266649879
9.059594805159955,10168.27530629788
9.061131004889585,10166.626758712448
9.06268496992992,10164.958714427918
9.064256619076778,10163.271265203957
9.065845870386736,10161.564504039894
9.06745264118699,10159.838525079313
9.069076848085977,10158.093423415183
9.070718406984343,10156.329294913146
9.072377233085879,10154.546235863501
9.074053240905256,10152.744342681275
9.075746344271904,10150.923712011121
9.077456456332126,10149.084441096737
9.079183489551939,10147.226628135482
9.080927355721926,10145.350372458617
9.082687965964137,10143.455774541315
9.084465230740495,10141.54293586589
9.086259059860886,10139.611958754464
9.088069362491034,10137.662946418506
9.089896047161336,10135.696002901022
9.091739021775584,10133.711232962374
9.093598193619247,10131.70874202029
9.095473469367384,10129.68863611829
9.097364755092103,10127.651021912223
9.099271956269707,10125.596006683512
9.101194977787863,10123.523698378664
9.103133723953166,10121.434205562246
9.105088098497575,10119.327637361173
9.107058004584534,10117.204103644332
9.109043344816207,10115.063715115386
9.111044021241941,10112.906583324566
9.113059935368083,10110.732820595595
9.115090988168648,10108.542539805752
9.117137080095128,10106.335854077257
9.119198111083486,10104.11287661413
9.121273980558676,10101.873720869104
9.123364587438907,10099.618500761413
9.125469830139695,10097.347330845294
9.127589606579033,10095.060326513014
9.129723814184294,10092.757604037019
9.131872349900325,10090.439280518867
9.134035110198345,10088.105473819393
9.136211991085336,10085.756302481796
9.138402888113646,10083.391885638606
9.140607696390392,10081.01234293687
9.14282631058715,10078.617794525062
9.14505862495017,10076.208360866647
9.147304533309155,10073.784162564029
9.149563929084549,10071.34532034412
9.15183670529381,10068.89195509956
9.154122754556989,10066.424187959663
9.156421969101803,10063.942140392723
9.158734240768823,10061.445934327383
9.161059461017038,10058.935692263325
9.163397520930191,10056.411537403694
9.165748311225526,10053.873593750359
9.168111722264793,10051.321985847831
9.170487644064664,10048.756838406342
9.172875966304593,10046.17827611275
9.175276578332268,10043.586423728528
9.177689369168395,10040.981406340881
9.180114227512458,10038.363349562982
9.18255104175017,10035.732379576606
9.184999699961876,10033.088623017604
9.187460089930726,10030.432206914043
9.189932099151452,10027.76325868905
9.192415614839645,10025.081906060592
9.194910523940807,10022.388276930515
9.197416713138852,10019.682499307539
9.199934068863962,10016.964701268966
9.202462477299823,10014.235010957362
9.205001824390562,10011.493556599418
9.20755199584775,10008.740466487277
9.21011287715665,10005.975868880565
9.212684353581023,10003.19989206292
9.215266310167571,10000.412664480298
9.217858631750543,9997.61431486769
9.22046120295705,9994.804972385073
9.223073908213834,9991.984766720097
9.225696631755977,9989.153828066661
9.228329257636855,9986.31228694189
9.230971669737992,9983.460273960567
9.233623751778088,9980.597919650285
9.236285387320066,9977.725354359753
9.238956459776759,9974.84270840028
9.241636852416812,9971.950112183114
9.244326448371325,9969.047696253727
9.247025130640944,9966.135591257571
9.249732782103173,9963.213927876945
9.2524492855194,9960.282836759623
9.255174523541104,9957.342448492835
9.257908378715717,9954.392893713153
9.260650733493462,9951.43430312343
9.263401470234033,9948.466807406168
9.266160471212837,9945.490537217722
9.26892761862709,9942.505623195708
9.271702794601755,9939.512195960067
9.2744858811954,9936.510386115957
9.277276760405986,9933.500324258312
9.280075314176514,9930.482140953556
9.28288142439984,9927.455966763682
9.28569497292377,9924.421932478443
9.288515841558503,9921.38016919639
9.291343912085885,9918.330808196886
9.294179066269349,9915.273980684042
9.297021185862864,9912.20981749667
9.299870152617554,9909.138448968046
9.302725848286276,9906.060005004414
9.305588154627554,9902.974615277775
9.308456953410136,9899.882409319931
9.311332126417213,9896.783516523603
9.314213555450948,9893.678066275097
9.31710112233803,9890.566187947985
9.319994708935496,9887.44801083626
9.32289419713641,9884.323664114652
9.325799468875383,9881.193276824713
9.328710406133927,9878.056977880738
9.331626890945754,9874.914896102482
9.334548805402607,9871.76716027315
9.337476031661032,9868.613899061005
9.340408451948417,9865.455240901612
9.343345948568619,9862.291314033675
9.346288403907648,9859.122246474119
9.349235700438992,9855.948165980419
9.35218772072845,9852.769200068815
9.355144347439024,9849.585476085194
9.358105463336523,9846.397121258435
9.36107095129605,9843.204262667781
9.364040694309274,9840.007027135132
9.367014575491414,9836.80554094983
9.369992478085562,9833.599929725737
9.372974285464997,9830.39031854646
9.375959881135032,9827.176832177529
9.378949148735375,9823.95959523272
9.381941972043428,9820.738732261525
9.38493823497853,9817.514367758986
9.387937821606753,9814.286626116102
9.390940616145633,9811.055631596944
9.393946502969696,9807.821508383682
9.396955366616847,9804.584380462595
9.399967091794391,9801.344371509093
9.402981563384635,9798.101604848087
9.405998666450262,9794.856203431435
9.40901828623952,9791.608289806405
9.412040308191184,9788.357986072948
9.41506461793908,9785.105413827914
9.418091101315643,9781.850694099923
9.421119644353874,9778.59394741874
9.424150133289348,9775.335294015533
9.427182454563127,9772.074853934953
9.430216494825896,9768.81274707558
9.433252140943212,9765.54909312111
9.436289280001033,9762.284011372933
9.439327799310341,9759.017620596367
9.442367586410418,9755.750038984997
9.445408529071331,9752.48138422206
9.448450515295752,9749.211773542836
9.451493433320419,9745.941323905548
9.454537171618647,9742.670152147695
9.457581618904216,9739.398375004204
9.460626664136173,9736.126109043704
